time,torso_height,velocity_x,energy,com_x,com_z
0.002,1.24998038,1.698402868313763e-18,0.0,0.026749226006191954,0.5852413264838567
0.004,1.24992152,7.016545862908106e-20,0.0,0.026749226006191954,0.5851824664838567
0.006,1.24982342,-8.391061473540675e-19,0.0,0.026749226006191954,0.5850843664838569
0.008,1.24968608,-1.7483777533372163e-18,0.0,0.026749226006191954,0.5849470264838569
0.01,1.2495095,-2.657649359320365e-18,0.0,0.026749226006191954,0.5847704464838569
0.012,1.24929368,-3.5669209653035135e-18,0.0,0.026749226006191954,0.5845546264838569
0.014,1.24903862,-4.476192571286662e-18,0.0,0.026749226006191954,0.584299566483857
0.016,1.2487443200000001,-3.865783943971771e-18,0.0,0.026749226006191954,0.5840052664838569
0.018000000000000002,1.2484107800000002,-3.2034943002028457e-18,0.0,0.026749226006191954,0.5836717264838569
0.020000000000000004,1.2480380000000002,-4.112765906185994e-18,0.0,0.026749226006191954,0.5832989464838569
0.022000000000000006,1.2476259800000002,-5.0220375121691425e-18,0.0,0.026749226006191954,0.5828869264838571
0.024000000000000007,1.2471747200000003,-5.931309118152291e-18,0.0,0.026749226006191954,0.5824356664838571
0.02600000000000001,1.2466842200000003,-6.84058072413544e-18,0.0,0.026749226006191954,0.5819451664838571
0.02800000000000001,1.2461544800000004,-7.749852330118588e-18,0.0,0.026749226006191954,0.5814154264838572
0.030000000000000013,1.2455855000000005,-8.659123936101738e-18,0.0,0.026749226006191954,0.5808464464838573
0.032000000000000015,1.2449772800000005,-9.568395542084885e-18,0.0,0.026749226006191954,0.5802382264838574
0.034000000000000016,1.2443298200000006,-8.670119531584298e-18,0.0,0.026749226006191954,0.5795907664838574
0.03600000000000002,1.2436431200000007,-9.579391137567447e-18,0.0,0.026749226006191954,0.5789040664838575
0.03800000000000002,1.2429171800000007,-8.413603385156459e-18,0.0,0.026749226006191954,0.5781781264838575
0.04000000000000002,1.2421520000000008,-7.023269931891827e-18,0.0,0.026749226006191954,0.5774129464838577
0.04200000000000002,1.241347580000001,-5.185975358147019e-18,0.0,0.026749226006191954,0.5766085264838577
0.044000000000000025,1.240503920000001,-3.196805089078787e-18,0.0,0.026749226006191954,0.5757648664838577
0.04600000000000003,1.239621020000001,-2.424934564373295e-18,0.0,0.026749226006191954,0.5748819664838579
0.04800000000000003,1.2386988800000012,-1.0318019440306255e-18,0.0,0.026749226006191954,0.573959826483858
0.05000000000000003,1.2377375000000013,-3.8272761566354845e-19,0.0,0.026749226006191954,0.572998446483858
0.05200000000000003,1.2367368800000014,3.118863675605139e-19,0.0,0.026749226006191954,0.5719978264838582
0.054000000000000034,1.2356970200000015,1.0394438569912945e-18,0.0,0.026749226006191954,0.5709579664838582
0.056000000000000036,1.2346179200000014,1.7796933043021014e-18,0.0,0.026749226006191954,0.5698788664838582
0.05800000000000004,1.2334995800000013,3.3559185991586077e-18,0.0,0.026749226006191954,0.5687605264838581
0.06000000000000004,1.2323420000000012,1.949766625462081e-18,0.0,0.026749226006191954,0.5676029464838579
0.06200000000000004,1.231145180000001,2.867643602123556e-18,0.0,0.026749226006191954,0.5664061264838579
0.06400000000000004,1.229909120000001,4.8280654322318166e-18,0.0,0.026749226006191954,0.5651700664838577
0.06600000000000004,1.2286338200000009,5.8526025094576306e-18,0.0,0.026749226006191954,0.5638947664838577
0.06800000000000005,1.2273192800000008,6.411489629165328e-18,0.0,0.026749226006191954,0.5625802264838576
0.07000000000000005,1.2259655000000007,6.970376748873026e-18,0.0,0.026749226006191954,0.5612264464838574
0.07200000000000005,1.2245724800000006,7.529263868580723e-18,0.0,0.026749226006191954,0.5598334264838575
0.07400000000000005,1.2231402200000006,8.08815098828842e-18,0.0,0.026749226006191954,0.5584011664838574
0.07600000000000005,1.2216687200000005,8.647038107996118e-18,0.0,0.026749226006191954,0.5569296664838572
0.07800000000000006,1.2201579800000004,9.205925227703816e-18,0.0,0.026749226006191954,0.5554189264838573
0.08000000000000006,1.2186080000000004,9.764812347411513e-18,0.0,0.026749226006191954,0.5538689464838572
0.08200000000000006,1.2170187800000003,1.032369946711921e-17,0.0,0.026749226006191954,0.552279726483857
0.08400000000000006,1.2153903200000002,1.0708049713020466e-17,0.0,0.026749226006191954,0.5506512664838571
0.08600000000000006,1.2137226200000002,1.1266936832728163e-17,0.0,0.026749226006191954,0.548983566483857
0.08800000000000006,1.2120156800000002,1.1077273460790074e-17,0.0,0.026749226006191954,0.5472766264838569
0.09000000000000007,1.2102695,1.3272621285304569e-17,0.0,0.026749226006191954,0.545530446483857
0.09200000000000007,1.208670745073789,2.338682314851406e-05,0.0,0.026747968276154572,0.5439332059681775
0.09400000000000007,1.2072294081742954,3.945573100346558e-05,0.0,0.026746185904065436,0.5424939996316228
