episodio,pasos,recompensa
290,36468,-19.87065
291,36487,-8.922479
292,36523,-34.56179
293,36565,-41.108192
294,36583,-17.2543
295,36603,-7.442587
296,36633,-20.569506
297,36672,-17.459187
298,36739,-78.783424
299,36790,-73.927315
300,36820,-37.356033
301,37820,-937.1777
302,37845,-16.379435
303,38346,-409.60532
304,38369,-2.9599009
305,38402,-42.48996
306,38414,-1.7745475
307,38436,-10.8242235
308,39436,-858.8724
309,39467,-72.87491
310,39584,3.2432332
311,39807,-212.32573
312,39828,-16.394958
313,39856,-22.710245
314,39885,0.54002184
315,39925,-9.712202
316,39954,-25.511007
317,39987,14.049199
318,40046,-53.716324
319,41046,-830.86835
320,41061,-12.388821
321,41232,-84.290985
322,41315,-64.277695
323,41328,-19.477516
324,41369,-32.158035
325,41396,-15.926674
326,42396,-788.99005
327,42437,-47.12618
328,42512,-120.40091
329,42546,-24.913338
330,42571,-6.9771466
331,42604,-55.113052
332,42637,-23.385937
333,42653,-7.573629
334,42711,-50.877937
335,42745,-26.970295
336,42769,-21.390999
337,42783,-5.92599
338,43054,-274.2032
339,43102,-24.91172
340,43116,-23.303457
341,43179,-46.77463
342,43307,-87.07483
343,43320,-12.608219
344,43345,-22.697964
345,43382,-22.342346
346,43414,-15.200775
347,43443,-3.5292351
348,43526,-56.56117
349,43570,-39.38034
350,43630,-48.197315
351,43707,-56.42493
352,43739,-6.6935325
353,43827,-59.427254
354,43947,-79.357285
355,43997,10.099942
356,44997,-859.7237
357,45047,-41.126427
358,45125,-56.19846
359,45142,-9.822092
360,45195,-58.945282
361,45265,-82.6705
362,45397,-130.96562
363,45421,-21.198673
364,45489,-94.14805
365,45508,-7.07233
366,45541,-21.880388
367,45566,-37.764214
368,45605,-34.07014
369,45622,-16.480318
370,45650,-34.819733
371,45675,-3.4394011
372,46675,-775.3537
373,46760,-28.380144
374,47760,-777.73047
375,47780,-12.823188
376,47836,-11.317102
377,47860,-27.881533
378,47902,-41.29343
379,48037,-88.82054
380,48053,-10.57376
381,48081,-33.646473
382,48102,-28.161903
383,48143,-80.51587
384,48183,-29.351248
385,48235,-44.630375
386,48320,-60.00839
387,48336,6.4063706
388,48369,-26.454895
389,48401,-28.824638
390,48420,-17.809254
391,48477,-65.38839
392,48537,-41.583057
393,48602,-33.71277
394,48675,-12.278862
395,48748,-68.953445
396,48788,-47.73352
397,48804,-10.803971
398,48851,-58.13076
399,48884,-20.158947
400,48941,-9.640678
401,48963,-21.321424
402,49227,-175.57846
403,49282,-47.44832
404,49393,-28.740574
405,49486,-72.481094
406,49540,-41.49089
407,50540,-749.00464
408,50574,10.420655
409,50695,-121.90814
410,51695,-767.5311
411,51716,-4.263592
412,51827,-108.61615
413,51880,-68.81061
414,51915,-25.475883
415,51951,-30.918388
416,52005,-52.00387
417,52050,-7.455339
418,52117,-64.17487
